Code,Name,Country,Exchange,Currency,Type,Isin
AAMUGX,AAMUGX,USA,NMFQS,USD,Mutual Fund,
AAMUKX,AAMUKX,USA,NMFQS,USD,Mutual Fund,
AAMUMX,AAMUMX,USA,NMFQS,USD,Mutual Fund,
AAMZAX,AAMZAX,USA,NMFQS,USD,Mutual Fund,
AAN,The Aaron's Company Inc.,USA,NYSE,USD,Common Stock,US00258W1080
AAN_old,AAN,USA,NYSE,USD,Common Stock,
AANB,Abigail Adams National Bancorp Inc,USA,NASDAQ,USD,Common Stock,
AANC,AANC,USA,PINK,USD,Common Stock,
AANOF,ASCIANO LTD,USA,PINK,USD,Common Stock,
AANPX,AMERICAN BEACON RETIREMENT INCOME AND APPRECIATION FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
AANR,ANR Inc,USA,PINK,USD,Common Stock,
AAOMF,Atlas Consolidated Mining and Development Corporation,USA,PINK,USD,Common Stock,PHY0434M1265
AAOPX,OPPORTUNISTIC FUND CLASS A,USA,NMFQS,USD,FUND,US14956P6126
AAP1,Amway Asia Pacific Ltd,USA,NYSE,USD,Common Stock,
AAPAX,AMERICAN BEACON RETIREMENT INCOME AND APPRECIATION FUND A CLASS,USA,NMFQS,USD,FUND,
AAPC,Atlantic Alliance Partnership Corp,USA,NASDAQ,USD,Common Stock,
AAPCF,Atlantic Alliance Partnership Corp - Ordinary Shares,USA,PINK,USD,Common Stock,
AAPEX,Aberdeen APAC ex-Japan Eq Ins Fd Inst Se,USA,NMFQS,USD,FUND,US0030216800
AAPGV,Ascentage Pharma Group International American Depository Shares When Issued,USA,NASDAQ,USD,Common Stock,
AAPH,American Petro-Hunter Inc,USA,OTCMKTS,USD,Common Stock,US0288571005
AAPIX,Aberdeen APAC ex-Japan Eq Insti Fd Inst,USA,NMFQS,USD,FUND,US0030216982
AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028
AAQC-UN,Accelerate Acquisition Units,USA,NASDAQ,USD,Common Stock,
AAQC-WT,Accelerate Acquisition Corp.,USA,NYSE,USD,Common Stock,
AAQCW,Accelerate Acquisition Corp.,USA,PINK,USD,Common Stock,
AARAX,AB ALL MARKET ALTERNATIVE RETURN PORTFOLIO CLASS A,USA,NMFQS,USD,FUND,
AARBX,INVESCO REAL ESTATE FUND CLASS B,USA,NMFQS,USD,FUND,
AARCX,AB ALL MARKET ALTERNATIVE RETURN PORTFOLIO CLASS C,USA,NMFQS,USD,FUND,
AARIX,ASTON/HARRISON STREET REAL ESTATE FUND CLASS I SHARES,USA,NMFQS,USD,FUND,
AARMX,AMERICAN INDEPENDENCE JAFORLINES GLOBAL TACTICAL ALLOCATION FUND CLASS A,USA,NMFQS,USD,FUND,US02110A5552
AARYX,AB ALL MARKET ALTERNATIVE RETURN PORTFOLIO ADVISOR CLASS,USA,NMFQS,USD,FUND,
AASBX,AMERICAN BEACON SHORT-TERM BOND FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
AASCF,All Active Asset Capital Limited,USA,OTCGREY,USD,Common Stock,
AASL,America's Suppliers Inc,USA,OTCGREY,USD,Common Stock,
AASPX,AMERICAN BEACON S&P 500 INDEX FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
AAST,Allied American Steel Corp,USA,OTCMKTS,USD,Common Stock,
AASVX,AMERICAN BEACON SMALL CAP VALUE FUND AMR CLASS,USA,NMFQS,USD,FUND,
AASZD,Atlantic Sapphire ASA,USA,OTCQB,USD,Common Stock,
AATCX,ANCORA/THELEN SMALL-MID CAP CLASS C,USA,NMFQS,USD,FUND,
AATDF,AA plc,USA,PINK,USD,Common Stock,
AATFX,INTERMEDIATE TAX-FREE BOND FUND CLASS A,USA,NMFQS,USD,FUND,
AATGD,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
AATGF,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
AATI,Advanced Analogic Technologies Incorp.,USA,NASDAQ,USD,Common Stock,
AATI_old,Analysis & Technology Inc,USA,NASDAQ,USD,Common Stock,
AATP,Agape ATP Corporation,USA,PINK,USD,Common Stock,
AATRL,Amg Cap Tr Ii,USA,PINK,USD,Common Stock,US00170F2092
AATT,Aavid Thermal Technologies Inc,USA,NASDAQ,USD,Common Stock,
AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
AAUCD,Allied Gold Corporation,USA,OTCQX,USD,Common Stock,
AAUCF,Allied Gold Corporation,USA,OTCQX,USD,Common Stock,
AAUGD,Aero Energy Limited,USA,NASDAQ,USD,Common Stock,CA00792K2065
AAUGD_old,Angold Resources Ltd.,USA,PINK,USD,Common Stock,
AAUKD,Anglo American plc,USA,OTCQX,USD,Common Stock,
AAUPX,ALLIANZGI ULTRA MICRO CAP FUND CLASS P,USA,NMFQS,USD,FUND,US01900C1779
AAV,Advantage Oil & Gas Ltd,USA,NYSE,USD,Common Stock,US0036872093
AAV_old,Avatex Corp,USA,NYSE,USD,Common Stock,
AAVIX,ASTON/CORNERSTONE LARGE CAP VALUE FUND CLASS I SHARES,USA,NMFQS,USD,FUND,
AAVL,AAVL,USA,NASDAQ,USD,Common Stock,
AAVPX,AMG MANAGERS VALUE PARTNERS ASIA DIVIDEND FUND CLASS I SHARES,USA,NMFQS,USD,FUND,
AAVX,ETRACS Daily Short 1-Month S&P 500 VIX,USA,NYSE,USD,ETF,
AAWC,Canning Str Corp,USA,PINK,USD,Common Stock,
AAWCD,Canning Str Corp,USA,PINK,USD,Common Stock,
AAWHQ,Atlas Air Worldwide Holdings Inc,USA,NASDAQ,USD,Common Stock,
AAWVX,Mid Cap Core Equity Fund Class A Shares,USA,NMFQS,USD,FUND,US14956P4899
AAWW,Atlas Air Worldwide Holdings,USA,NASDAQ,USD,Common Stock,US0491642056
AAXAX,ADAPTIVE ALLOCATION FUND ADAPTIVE ALLOCATION FUND CLASS A SHARES,USA,NMFQS,USD,FUND,
AAXCX,ADAPTIVE ALLOCATION FUND ADAPTIVE ALLOCATION FUND CLASS C SHARES,USA,NMFQS,USD,FUND,
AAXT,Aamaxan Transport Group Inc,USA,OTCCE,USD,Common Stock,
AAZAX,AB ARIZONA PORTFOLIO CLASS A,USA,NMFQS,USD,FUND,US01864E7976
AAZBX,AB ARIZONA PORTFOLIO CLASS B,USA,NMFQS,USD,FUND,
AAZCX,AB ARIZONA PORTFOLIO CLASS C,USA,NMFQS,USD,FUND,US01864E7711
AAZXX,American Funds U.S. Government Money Market Fund,USA,NMFQS,USD,FUND,
AAZYX,AB Municipal Income Fund II Arizona Portfolio Advisor Class,USA,NMFQS,USD,FUND,
AAZYX_old,ALGER MID CAP FOCUS FUND ALGER MID CAP FOCUS FUND CLASS Z,USA,NMFQS,USD,FUND,US01864E5731
AAZZD,A2Z Smart Technologies Corp,USA,OTCQB,USD,Common Stock,
AAZZF,A2Z Smart Technologies Corp,USA,OTCQX,USD,Common Stock,CA00249W1005
ABAC,Renmin Tianli Group Inc,USA,NASDAQ,USD,Common Stock,USG0404E1123
ABACF,Abacan Resource Corp,USA,NASDAQ,USD,Common Stock,
ABAFX,FORWARD BALANCED ALLOCATION FUND CLASS C,USA,NMFQS,USD,FUND,
ABAGX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND CLASS A,USA,NMFQS,USD,FUND,
ABAHF,Abacus Health Products Inc,USA,OTCQB,USD,Common Stock,
ABAMX,ALLIANZGI RETIREMENT 2030 FUND ADMINISTRATIVE,USA,NMFQS,USD,FUND,
ABAN,American Bancshares Inc,USA,NASDAQ,USD,Common Stock,
ABARX,ASTON/BARINGS INTERNATIONAL FUND CLASS N SHARES,USA,NMFQS,USD,FUND,
ABAT_old,ABAT,USA,PINK,USD,Common Stock,
ABAX,Abaxis Inc,USA,NASDAQ,USD,Common Stock,US0025671050
ABBAF,Aberdeen Asian Income Fund Limited,USA,PINK,USD,FUND,
ABBBY,Abb Asea Brown Boveri Ltd,USA,NASDAQ,USD,Common Stock,
ABBC,ABINGTON BANCORP INC./PA,USA,NASDAQ,USD,Common Stock,
ABBDX,COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO CLASS B,USA,NMFQS,USD,FUND,
ABBGX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND CLASS B,USA,NMFQS,USD,FUND,
ABBK,Abington Bancorp Inc,USA,NASDAQ,USD,Common Stock,
ABBRD,AbraSilver Resource Corp.,USA,OTCQX,USD,Common Stock,
ABBSX,AB DISCOVERY VALUE FUND CLASS B,USA,NMFQS,USD,FUND,US0189142005
ABBYX,AMERICAN BEACON SMALL CAP VALUE II FUND Y CLASS,USA,NMFQS,USD,FUND,
ABC,AmerisourceBergen,USA,NYSE,USD,Common Stock,US03073E1055
ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock,
ABCC,Abc Dispensing Technologies Inc,USA,NASDAQ,USD,Common Stock,
ABCCL,Associated Banc-Corp,USA,PINK,USD,Common Stock,
ABCD,Cambium Learning Group Inc,USA,NASDAQ,USD,Common Stock,US13201A1079
ABCE,ABCO Energy Inc,USA,PINK,USD,Common Stock,US00287V4023
ABCED,ABCO Energy Inc,USA,PINK,USD,Common Stock,
ABCFX,INVESCO GREATER CHINA FUND CLASS B,USA,NMFQS,USD,FUND,
ABCGF,ABCGF,USA,PINK,USD,Common Stock,
ABCGX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND CLASS C,USA,NMFQS,USD,FUND,
ABCL_old,AbCellera Biologics Inc.,USA,NASDAQ,USD,Common Stock,
ABCM,Abcam PLC,USA,NASDAQ,USD,Common Stock,US0003802040
ABCO,The Advisory Board Company,USA,NASDAQ,USD,Common Stock,US00762W1071
ABCO_old,American Buildings Co,USA,NASDAQ,USD,Common Stock,
ABCR,ABC Naco Inc,USA,NASDAQ,USD,Common Stock,
ABCW,Anchor BanCorp Wisconsin Inc,USA,NASDAQ,USD,Common Stock,
ABCZF,Abcam plc,USA,PINK,USD,Common Stock,
ABCZY,Abcam plc,USA,PINK,USD,Common Stock,US0003801059
ABD,Autobond Acceptance Corp,USA,NYSE,USD,Common Stock,
ABDC,Alcentra Capital Corporation,USA,NASDAQ,USD,Common Stock,US01374T1025
ABDCX,THE BDC INCOME FUND A SHARES,USA,NMFQS,USD,FUND,
ABDIX,ALLIANZ GLOBAL INVESTORS SOLUTIONS 2030 FUND D,USA,NMFQS,USD,FUND,
ABDNF,Aberdeen Asset Management Plc,USA,PINK,USD,Common Stock,
ABDNY,ABERDEEN ASSET,USA,PINK,USD,Common Stock,
ABDR,Ambassador Food Services Corp,USA,OTCGREY,USD,Common Stock,US0229091055
ABDR_old,Abacus Direct Corp,USA,NASDAQ,USD,Common Stock,
ABDS,Allegro Biodiesel Corp,USA,NASDAQ,USD,Common Stock,
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc,USA,NYSE MKT,USD,ETF,US00301T1025
ABEAX,AMERICAN BEACON EARNEST PARTNERS EMERGING MARKETS EQUITY FUND A CLASS,USA,NMFQS,USD,FUND,
ABEC,Analytica Bio-Energy Corp,USA,OTCCE,USD,Common Stock,
ABEEX,AMERICAN BEACON EARNEST PARTNERS EMERGING MARKETS EQUITY FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
ABEGX,AMERICAN BEACON EARNEST PARTNERS EMERGING MARKETS EQUITY FUND Y CLASS,USA,NMFQS,USD,FUND,
ABEIX,Aberdeen Tax-Free Income Fund Inst Class,USA,NMFQS,USD,FUND,US0030222097
ABENU,Advanced BioEnergy LLC,USA,OTCGREY,USD,Common Stock,
ABEOW,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,
ABERX,Aberdeen Tax-Free Income Fund Cl R,USA,NMFQS,USD,FUND,
ABESX,Aberdeen Tax-Free Income Fund Inst Servi,USA,NMFQS,USD,FUND,US0030223087
ABETF,Supernova Metals Corp,USA,PINK,USD,Common Stock,
ABETX,AMERICAN BEACON EARNEST PARTNERS EMERGING MARKETS EQUITY FUND C CLASS,USA,NMFQS,USD,FUND,
ABEVX,AMERICAN BEACON EARNEST PARTNERS EMERGING MARKETS EQUITY FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
ABEYF,Abbey plc,USA,OTCGREY,USD,Common Stock,
ABF,Airborne Inc,USA,NYSE,USD,Common Stock,
ABFIQ,American Business Financial Services Inc,USA,NASDAQ,USD,Common Stock,
ABFOF,Abertis Infraestructuras S.A,USA,PINK,USD,Common Stock,
ABFRF,Aberforth Smaller Companies Trust Plc,USA,PINK,USD,Common Stock,
ABFS,Arkansas Best Corp,USA,NASDAQ,USD,Common Stock,
ABFXF,Abf Pan Asia Bond I/Fd,USA,PINK,USD,FUND,
ABG2,Groupe Ab Sa,USA,NYSE,USD,Common Stock,
ABGB,ABENGOA SA,USA,NASDAQ,USD,Common Stock,
ABGBY,ABGBY,USA,NASDAQ,USD,Common Stock,
ABGI,ABG Acquisition I Corp,USA,NASDAQ,USD,Common Stock,KYG004961028
ABGKX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND CLASS K,USA,NMFQS,USD,FUND,
ABGLF,Acacia Mining plc,USA,PINK,USD,Common Stock,
ABGOF,Abengoa S.A,USA,PINK,USD,Common Stock,ES0105200416
ABGOY,Abengoa S.A,USA,PINK,USD,Common Stock,
ABGPF,ABGPF,USA,OTCBB,USD,Common Stock,
ABGRX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND CLASS R,USA,NMFQS,USD,FUND,
ABGTX,ALLIANZGI GREEN BOND FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US01882F3139
ABGX,Abgenix Inc,USA,NASDAQ,USD,Common Stock,
ABGYX,ALLIANCEBERNSTEIN GLOBAL VALUE FUND ADVISOR CLASS,USA,NMFQS,USD,FUND,
ABHAX,AMERICAN BEACON HIGH YIELD BOND FUND A CLASS,USA,NMFQS,USD,FUND,
ABHD,Abtech Holdings Inc,USA,OTCQB,USD,Common Stock,
ABHDD,Abtech Holdings Inc,USA,OTCQB,USD,Common Stock,
ABHH,American Bank Note Holographics Inc,USA,NYSE,USD,Common Stock,
ABHI,AmbiCom Holdings Inc,USA,PINK,USD,Common Stock,
ABHMX,AMERICAN HIGH-INCOME MUNICIPAL BOND FUND CLASS B,USA,NMFQS,USD,FUND,
ABHY,Abacus FCF ETF Trust - Abacus Flexible Bond Leaders ETF,USA,BATS,USD,ETF,US89628W6093
ABI_old,Safety First Trust Series 2009-2,USA,NYSE ARCA,USD,ETF,
ABI_old1,Applied Biosystems Inc,USA,NYSE,USD,Common Stock,
ABI_old2,ABI,USA,NYSE,USD,Common Stock,US78648B1098
ABIBX,AB INTERNATIONAL VALUE FUND CLASS B,USA,NMFQS,USD,FUND,US0189132022
ABII,Abraxis BioScience Inc,USA,NASDAQ,USD,Common Stock,
ABIIX,ASTON/BARINGS INTERNATIONAL FUND CLASS I SHARES,USA,NMFQS,USD,FUND,
ABIL,Ability Inc,USA,NASDAQ,USD,Common Stock,USG8789K1081
ABILW,ABILW,USA,NASDAQ,USD,Common Stock,
ABIO,ARCA Biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069
ABIO_old,Applied Biometrics Inc,USA,NASDAQ,USD,Common Stock,
ABIPX,AMERICAN BEACON INTERMEDIATE BOND FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
ABIRX,AMERICAN BEACON INTERNATIONAL EQUITY FUND RETIREMENT CLASS,USA,NMFQS,USD,FUND,
ABISX,Aberdeen Asia Bnd Instl Fd Inst Srv Cls,USA,NMFQS,USD,FUND,US0030216727
ABIWF,Ability Inc. WT EXP 121718,USA,PINK,USD,Common Stock,
ABIX,Abatix Corp,USA,NASDAQ,USD,Common Stock,
ABIZA,Adelphia Business Solutions Inc,USA,NASDAQ,USD,Common Stock,
ABK,Ambac Financial Group Inc,USA,NASDAQ,USD,Common Stock,
ABKB,American Basketball Association Inc,USA,OTCGREY,USD,Common Stock,
ABKEX,AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS K,USA,NMFQS,USD,FUND,US01877E5116
ABKI,Abakan Inc,USA,PINK,USD,Common Stock,
ABKYX,INVESCO MODERATE ALLOCATION FUND CLASS Y,USA,NMFQS,USD,FUND,US00888U4985
ABL,Abacus Life Inc.,USA,NASDAQ,USD,Common Stock,US00258Y1047
ABLAX,ALLIANZGI RETIREMENT 2030 FUND A,USA,NMFQS,USD,FUND,US01900A4866
ABLCX,ALLIANZGI RETIREMENT 2030 FUND C,USA,NMFQS,USD,FUND,US01900A4783
ABLE,Able Energy Inc,USA,OTCCE,USD,Common Stock,US0037091024
ABLGF,Alten S.A.,USA,PINK,USD,Common Stock,
ABLIX,ALLIANZGI RETIREMENT 2030 FUND R6,USA,NMFQS,USD,FUND,
ABLLW,Abacus Life Inc.,USA,NASDAQ,USD,Common Stock,US00258Y1120
ABLPX,ALLIANZGI RETIREMENT 2030 FUND P,USA,NMFQS,USD,FUND,
